tn,fp,fn,tp,confusion_matrix,accuracy,sensitivity_abnormal_recall,specificity_normal_recall,macc,precision_normal,recall_normal,f1_normal,support_normal,precision_abnormal,recall_abnormal,f1_abnormal,support_abnormal,macro_precision,macro_recall,macro_f1,weighted_f1,fold,model,best_epoch,checkpoint
470,45,17,116,"[[470, 45], [17, 116]]",0.904320987654321,0.8721804511278195,0.912621359223301,0.8924009051755603,0.9650924024640657,0.912621359223301,0.93812375249501,515,0.7204968944099379,0.8721804511278195,0.7891156462585034,133,0.8427946484370018,0.8924009051755603,0.8636196993767566,0.9075402985915294,1,proposed,42,results/ieee_cv/final/checkpoints/proposed_fold_1.pth
459,56,15,118,"[[459, 56], [15, 118]]",0.8904320987654321,0.8872180451127819,0.8912621359223301,0.8892400905175559,0.9683544303797469,0.8912621359223301,0.9282103134479271,515,0.6781609195402298,0.8872180451127819,0.7687296416938111,133,0.8232576749599884,0.8892400905175559,0.8484699775708691,0.8954773977946904,2,proposed,28,results/ieee_cv/final/checkpoints/proposed_fold_2.pth
455,60,14,119,"[[455, 60], [14, 119]]",0.8858024691358025,0.8947368421052632,0.883495145631068,0.8891159938681656,0.9701492537313433,0.883495145631068,0.9247967479674797,515,0.664804469273743,0.8947368421052632,0.7628205128205128,133,0.8174768615025432,0.8891159938681656,0.8438086303939962,0.8915516256302164,3,proposed,29,results/ieee_cv/final/checkpoints/proposed_fold_3.pth
472,43,16,117,"[[472, 43], [16, 117]]",0.9089506172839507,0.8796992481203008,0.916504854368932,0.8981020512446164,0.9672131147540983,0.916504854368932,0.9411764705882353,515,0.73125,0.8796992481203008,0.7986348122866894,133,0.8492315573770491,0.8981020512446164,0.8699056414374624,0.9119202351652327,4,proposed,53,results/ieee_cv/final/checkpoints/proposed_fold_4.pth
456,59,11,122,"[[456, 59], [11, 122]]",0.8919753086419753,0.9172932330827067,0.8854368932038835,0.9013650631432951,0.9764453961456103,0.8854368932038835,0.9287169042769857,515,0.6740331491712708,0.9172932330827067,0.7770700636942676,133,0.8252392726584405,0.9013650631432951,0.8528934839856266,0.8975918582931871,5,proposed,22,results/ieee_cv/final/checkpoints/proposed_fold_5.pth
445,70,9,124,"[[445, 70], [9, 124]]",0.8780864197530864,0.9323308270676691,0.8640776699029126,0.8982042484852908,0.9801762114537445,0.8640776699029126,0.9184726522187823,515,0.6391752577319587,0.9323308270676691,0.7584097859327217,133,0.8096757345928516,0.8982042484852908,0.838441219075752,0.8856202429347606,1,resnet1d,41,results/ieee_cv/final/checkpoints/resnet1d_fold_1.pth
449,66,11,122,"[[449, 66], [11, 122]]",0.8811728395061729,0.9172932330827067,0.8718446601941747,0.8945689466384408,0.9760869565217392,0.8718446601941747,0.921025641025641,515,0.648936170212766,0.9172932330827067,0.7601246105919003,133,0.8125115633672526,0.8945689466384408,0.8405751258087706,0.8880012011372344,2,resnet1d,32,results/ieee_cv/final/checkpoints/resnet1d_fold_2.pth
449,66,11,122,"[[449, 66], [11, 122]]",0.8811728395061729,0.9172932330827067,0.8718446601941747,0.8945689466384408,0.9760869565217392,0.8718446601941747,0.921025641025641,515,0.648936170212766,0.9172932330827067,0.7601246105919003,133,0.8125115633672526,0.8945689466384408,0.8405751258087706,0.8880012011372344,3,resnet1d,13,results/ieee_cv/final/checkpoints/resnet1d_fold_3.pth
448,67,4,129,"[[448, 67], [4, 129]]",0.8904320987654321,0.9699248120300752,0.8699029126213592,0.9199138623257173,0.9911504424778761,0.8699029126213592,0.9265770423991727,515,0.6581632653061225,0.9699248120300752,0.78419452887538,133,0.8246568538919993,0.9199138623257173,0.8553857856372764,0.8973534709506166,4,resnet1d,41,results/ieee_cv/final/checkpoints/resnet1d_fold_4.pth
448,67,7,126,"[[448, 67], [7, 126]]",0.8858024691358025,0.9473684210526315,0.8699029126213592,0.9086356668369954,0.9846153846153847,0.8699029126213592,0.9237113402061856,515,0.6528497409326425,0.9473684210526315,0.7730061349693251,133,0.8187325627740136,0.9086356668369954,0.8483587375877554,0.8927795619708423,5,resnet1d,46,results/ieee_cv/final/checkpoints/resnet1d_fold_5.pth
